Parm	or	lowor	upor	imod	pr_seed	mi_seed
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	2	1234567	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	2	1234567	524239
RA_GRP_EXP	2.2976885535	1.0568346222	4.9954577358	3	123	524230
RA_GRP_S8	2.3349741345	1.0806413818	5.0452484058	3	123	524230
RA_GRP_EXP	2.307270974	1.031481114	5.1610245456	3	123	524231
RA_GRP_S8	2.3910388785	1.1164080231	5.1209475388	3	123	524231
RA_GRP_EXP	2.3993995217	1.1099831823	5.1866714349	3	123	524232
RA_GRP_S8	2.2963987914	1.0675794607	4.9396298854	3	123	524232
RA_GRP_EXP	1.905355373	0.885474273	4.0999261166	3	123	524233
RA_GRP_S8	1.8464605681	0.8111002811	4.2034464899	3	123	524233
RA_GRP_EXP	2.1666755935	0.9184027926	5.1115732282	3	123	524234
RA_GRP_S8	2.1661365931	0.9276212147	5.0582583343	3	123	524234
RA_GRP_EXP	2.2241011398	1.0020707903	4.9364036233	3	123	524235
RA_GRP_S8	2.3039714235	1.0607477497	5.0042852527	3	123	524235
RA_GRP_EXP	2.1932392805	1.0265857055	4.6857252304	3	123	524236
RA_GRP_S8	2.1817568547	1.0300228797	4.6213177077	3	123	524236
RA_GRP_EXP	2.3396474841	0.9968596058	5.4911948663	3	123	524237
RA_GRP_S8	2.2310690005	0.9729276179	5.1161759556	3	123	524237
RA_GRP_EXP	2.4176927945	1.1129632881	5.2519598004	3	123	524238
RA_GRP_S8	2.3043755971	1.0783864582	4.924159472	3	123	524238
RA_GRP_EXP	2.1004448214	0.9799374208	4.5021940728	3	123	524239
RA_GRP_S8	2.2202060227	1.0600777833	4.6499557493	3	123	524239
RA_GRP_EXP	3.3633542808	1.6508713877	6.8522309507	3	1234	524230
RA_GRP_S8	2.223095097	1.0276274027	4.80928379	3	1234	524230
RA_GRP_EXP	3.4482653394	1.6712755403	7.1146460078	3	1234	524231
RA_GRP_S8	2.2348214525	1.0586177117	4.717875839	3	1234	524231
RA_GRP_EXP	3.4573804142	1.688295056	7.0802075067	3	1234	524232
RA_GRP_S8	2.1851229497	1.0052801723	4.7496831596	3	1234	524232
RA_GRP_EXP	2.7244992961	1.3252957265	5.600935901	3	1234	524233
RA_GRP_S8	1.7395733333	0.76563029	3.9524499247	3	1234	524233
RA_GRP_EXP	3.2839919211	1.5046056803	7.1677271188	3	1234	524234
RA_GRP_S8	2.0319790045	0.8788433879	4.6981506958	3	1234	524234
RA_GRP_EXP	2.4984493147	1.1525191659	5.416178024	3	1234	524235
RA_GRP_S8	2.1999932504	1.0327278984	4.6865881222	3	1234	524235
RA_GRP_EXP	2.3707102782	1.1145152674	5.0427906976	3	1234	524236
RA_GRP_S8	2.0844986624	0.9780623476	4.4425947735	3	1234	524236
RA_GRP_EXP	2.6480346224	1.1746879594	5.9693191753	3	1234	524237
RA_GRP_S8	2.143912833	0.9460684931	4.8583821034	3	1234	524237
RA_GRP_EXP	2.6356942576	1.2070322347	5.7553427489	3	1234	524238
RA_GRP_S8	2.1728234798	1.0218666899	4.620134819	3	1234	524238
RA_GRP_EXP	2.2395674511	1.0443920411	4.8024708832	3	1234	524239
RA_GRP_S8	2.1005593872	0.9906700172	4.4539045925	3	1234	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	12345	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	12345	524239
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524230
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524230
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524231
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524231
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524232
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524232
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524233
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524233
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524234
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524234
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524235
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524235
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524236
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524236
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524237
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524237
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524238
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524238
RA_GRP_EXP	2.2208967507	1.0329869672	4.774873773	3	123456	524239
RA_GRP_S8	2.1005642496	0.9906696601	4.4539268178	3	123456	524239
